project	old_path	new_path	title
Nighsky	assets/img/RDP0151.jpg	assets/img/projects/nighsky/moon-and-mars-2.jpg	Moon and Mars
Nighsky	assets/img/RDP0124.jpg	assets/img/projects/nighsky/full-moon.jpg	Full Moon
Nighsky	assets/img/RDP0140.jpg	assets/img/projects/nighsky/full-moon-2.jpg	Full Moon
Nighsky	assets/img/RDP0619.jpg	assets/img/projects/nighsky/new-moon.jpg	new moon
Nighsky	assets/img/RDP0638.jpg	assets/img/projects/nighsky/new-moon-2.jpg	new moon
Nighsky	assets/img/RDP1287.jpg	assets/img/projects/nighsky/stars.jpg	stars
Nighsky	assets/img/RDP1303.jpg	assets/img/projects/nighsky/milky-way.jpg	milky way
Nighsky	assets/img/RDP0117.jpg	assets/img/projects/nighsky/oman-stars.jpg	Oman stars
Nighsky	assets/img/RDP0310.jpg	assets/img/projects/nighsky/stars-and-bioluminescence.jpg	stars and bioluminescence
Nighsky	assets/img/RDP0321.jpg	assets/img/projects/nighsky/my-favorite-picture.jpg	my favorite picture
Nighsky	assets/img/RDP0598.jpg	assets/img/projects/nighsky/dawn.jpg	dawn
Nighsky	assets/img/RDP0563.jpg	assets/img/projects/nighsky/camping-under-the-stars.jpg	camping under the stars
Nighsky	assets/img/RDP0568.jpg	assets/img/projects/nighsky/camping-under-the-stars-2.jpg	camping under the stars
Nighsky	assets/img/RDP0611.jpg	assets/img/projects/nighsky/camping-under-the-stars-3.jpg	camping under the stars
Nighsky	assets/img/RDP0631.jpg	assets/img/projects/nighsky/camping-under-the-stars-4.jpg	camping under the stars
Nighsky	assets/img/RDP0673.jpg	assets/img/projects/nighsky/camping-under-the-stars-5.jpg	camping under the stars
Nighsky	assets/img/RDP0683.jpg	assets/img/projects/nighsky/camping-under-the-stars-6.jpg	camping under the stars
Nighsky	assets/img/RDP1059.jpg	assets/img/projects/nighsky/camping-under-the-stars-7.jpg	camping under the stars
Nighsky	assets/img/RDP1055.jpg	assets/img/projects/nighsky/camping-under-the-stars-8.jpg	camping under the stars
Nighsky	assets/img/RDP0535.jpg	assets/img/projects/nighsky/aurora.jpg	aurora
Nighsky	assets/img/RDP0308.jpg	assets/img/projects/nighsky/aurora-2.jpg	aurora
Nighsky	assets/img/RDP0305.jpg	assets/img/projects/nighsky/aurora-3.jpg	aurora
Nighsky	assets/img/RDP0686_1.jpg	assets/img/projects/nighsky/aurora-4.jpg	aurora
Nighsky	assets/img/RDP0690.jpg	assets/img/projects/nighsky/aurora-5.jpg	aurora
Nighsky	assets/img/RDP0694.jpg	assets/img/projects/nighsky/aurora-6.jpg	aurora
Nighsky	assets/img/RDP0706.jpg	assets/img/projects/nighsky/aurora-7.jpg	aurora
Nighsky	assets/img/RDP0732.jpg	assets/img/projects/nighsky/aurora-8.jpg	aurora
Nighsky	assets/img/RDP0781.jpg	assets/img/projects/nighsky/aurora-9.jpg	aurora
Nighsky	assets/img/RDP0054.jpg	assets/img/projects/nighsky/aurora-10.jpg	aurora
Nighsky	assets/img/RDP0020.jpg	assets/img/projects/nighsky/aurora-11.jpg	aurora
Nighsky	assets/img/RDP0032.jpg	assets/img/projects/nighsky/aurora-12.jpg	aurora
Nighsky	assets/img/RDP0057.jpg	assets/img/projects/nighsky/aurora-13.jpg	aurora
Oman	assets/img/RDP0559.jpg	assets/img/projects/oman/camel-on-top-of-a-hill.jpg	Camel on top of a hill
Oman	assets/img/RDP0662.jpg	assets/img/projects/oman/sunrise-at-wadi-autunt.jpg	Sunrise at Wadi Autunt
Oman	assets/img/RDP1008.jpg	assets/img/projects/oman/car-camping-in-the-middle-of-nowhere.jpg	car camping in the middle of nowhere
Oman	assets/img/RDP1077.jpg	assets/img/projects/oman/car-camping-in-the-middle-of-nowhere-2.jpg	car camping in the middle of nowhere
Other_animals	assets/img/RDP0206-2.jpg	assets/img/projects/other-animals/cover.jpg	
Other_animals	assets/img/RDP_0423.jpg	assets/img/projects/other-animals/fox-squirrel.jpg	Fox squirrel
Other_animals	assets/img/RDP_0421.jpg	assets/img/projects/other-animals/fox-squirrel-2.jpg	Fox squirrel
Other_animals	assets/img/RDP0261.jpg	assets/img/projects/other-animals/raccoon.jpg	raccoon
Other_animals	assets/img/RDP0577.jpg	assets/img/projects/other-animals/banana-slug.jpg	banana slug
Other_animals	assets/img/RDP1825.jpg	assets/img/projects/other-animals/cayote.jpg	Cayote
Other_animals	assets/img/RDP1948.jpg	assets/img/projects/other-animals/elks.jpg	Elks
Other_animals	assets/img/RDP0116.jpg	assets/img/projects/other-animals/elks-2.jpg	Elks
Other_animals	assets/img/RDP2000.jpg	assets/img/projects/other-animals/elks-and-sunset.jpg	Elks & sunset
Other_animals	assets/img/RDP2037.jpg	assets/img/projects/other-animals/elk.jpg	Elk
Other_animals	assets/img/RDP0354.jpg	assets/img/projects/other-animals/camel.jpg	camel
Other_animals	assets/img/RDP0357.jpg	assets/img/projects/other-animals/butterfly.jpg	Butterfly
Other_animals	assets/img/RDP0206.jpg	assets/img/projects/other-animals/deer.jpg	Deer
Other_animals	assets/img/RDP0372.jpg	assets/img/projects/other-animals/araneus-diadematus-spider.jpg	Araneus diadematus spider
Other_animals	assets/img/RDP0008.jpg	assets/img/projects/other-animals/ladybug.jpg	ladybug
Other_animals	assets/img/RDP0013.jpg	assets/img/projects/other-animals/hmm.jpg	hmm
Other_animals	assets/img/RDP0017.jpg	assets/img/projects/other-animals/grasshopper.jpg	grasshopper
Other_animals	assets/img/RDP0084.jpg	assets/img/projects/other-animals/beaver.jpg	beaver!
Other_animals	assets/img/RDP0162.jpg	assets/img/projects/other-animals/beaver-2.jpg	beaver!
